가맹점명,주소
복현점,대구광역시 북구 복현동 340-4
수성점,대구광역시 수성구 수성동1가 113-4
지산범물점,대구광역시 수성구 지산로 57 (지산동) 1층
대구중구점,대구광역시 중구 명덕로 165(남산동) 1층
송촌점,대전광역시 대덕구 송촌북로5번길 10-5 (중리동) .
신탄진점,대전광역시 대덕구 대덕대로 1556 (석봉동 309-12)
가오점,대전광역시 동구 가오동 223-21
월평점,대전광역시 서구 갈마동 263-19
관저점,대전광역시 서구 도안남로 146 (관저동) .
대전둔산점,대전광역시 서구 둔산동 1821
도마점,대전광역시 서구 도산로 39 (도마동) 1층
노은점,대전광역시 유성구 지족동 986-1
테크노밸리점,대전광역시 유성구 관평동 669
유성점,대전광역시 유성구 봉명서로 43-12 (봉명동) 1층
서대전점,대전광역시 중구 유천동 305-9
대전중구청점,대전광역시 중구 선화동 14-11 1층
부산명지점,부산광역시 강서구 명지동 3442-2
구서점,부산광역시 금정구 구서동 775-15
정관신도시점,부산광역시 기장군 정관면 417-7
기장일광점,부산광역시 기장군 기장읍 차성로436번길 6-2 103호
대연점,부산광역시 남구 대연동 324-21번지
부산용호점,부산광역시 남구 용호로 97(용호동) 1층
부산사직점,부산광역시 동래구 사직동 70-22
명륜점,부산광역시 동래구 명륜동 696-17
개금당감점,부산광역시 부산진구 가야대로 525 (가야동) 1층
부산시민공원점,부산광역시 부산진구 동평로291번길 5 (연지동) 1층
화명점,"부산광역시 북구 금곡대로 240 (화명동, 롯데 캐슬 멤버스) 피자알볼로 화명점"
부산만덕점,부산광역시 북구 만덕동 915-5
사상점,부산광역시 사상구 운산로 56 (괘법동) 1층
하단점,부산광역시 사하구 하신중앙로336 시우스빌딩 제1층 102호
대신점,부산광역시 서구 구덕로 282 (동대신동1가) 1층
광안점,부산광역시 수영구 광안동 174-5
연산1호점,부산광역시 연제구 연산동 313-46
연제구청점,부산광역시 연제구 연산2동 821-3
영도점,부산광역시 영도구 절영로 50 (남항동1가) 1층
좌동점,부산광역시 해운대구 좌동 1295-12
해운대점,부산광역시 해운대구 재송동 1209
대치직영점,서울특별시 강남구 대치동 961 창진빌딩 1층
일원수서점,서울특별시 강남구 일원로9길 28(1층1호)
역삼직영점,서울특별시 강남구 역삼로 148 (역삼동) 1층
논현직영점,서울특별시 강남구 논현로124길 27 (논현동) 102호
강남자곡점,"서울특별시 강남구 자곡로 101 (자곡동, 래미안 강남힐즈) 635동 비103호"
명일암사점,서울특별시 강동구 명일동 305-3
둔촌성내점,"서울특별시 강동구 풍성로51길 8 (성내동, 성내 웰빙시티) 1층 103호"
미아길음점,서울특별시 강북구 미아동 813-1
수유점,서울특별시 강북구 수유동 249-15
발산직영점,서울특별시 강서구 내발산동 678-6
방화점,서울특별시 강서구 방화동 495-18
가양점,서울특별시 강서구 등촌동 656-48
봉천점,서울특별시 관악구 봉천동 955-9
난곡점,서울특별시 관악구 신림동 1567-1
신림점,서울특별시 관악구 봉천동 1563-24
구의점,서울특별시 광진구 구의동 230-13
중곡점,서울특별시 광진구 중곡동 47-14번지
구로점,서울특별시 구로구 구로동 413-34
오류점,서울특별시 구로구 오류동 135-29번지
금천구청점,서울특별시 금천구 시흥동 908번지
상계점,서울특별시 노원구 상계 169-179
공릉하계점,서울특별시 노원구 공릉동 362-1
중계점,서울특별시 노원구 덕릉로 591(중계동) 1층
창동점,서울특별시 도봉구 창동 750-2
장안점,서울특별시 동대문구 장안동 580번지 위더스빌상가
이문회기점,서울특별시 동대문구 이문동 324-10
상도점,서울특별시 동작구 상도동 529 상도두산위브아파트 그린생활시설 120동 108-1호
사당직영점,서울특별시 동작구 사당로 196 (사당동) .
노량진흑석점,서울특별시 동작구 본동 394-1
서교망원점,서울특별시 마포구 성산동 239-18
마포점,서울특별시 마포구 신수동 190
상암점,서울특별시 마포구 상암동 1740
가좌점,서울특별시 서대문구 북가좌동 481 DMC래미안e편한세상 203동 상가1호 1층 1호
홍제점,서울특별시 서대문구 홍제동 266-153
서대문점,서울특별시 서대문구 경기대로 68 (충정로2가) 동신빌딩 1층
연희점,서울특별시 서대문구 연희로 143 (연희동) 102호
방배점,서울특별시 서초구 방배동 836-10
잠원점,서울특별시 서초구 잠원동 49-8
서초점,서울특별시 서초구 서초동 1673-5
옥수점,서울특별시 성동구 독서당로 187 (옥수동) 1층
성수점,서울특별시 성동구 뚝섬로 430-1
왕십리뉴타운점,서울특별시 성동구 하왕십리동 1070 센트라스 제이동 128호
장위월계점,서울특별시 성북구 장위동 237-232
안암돈암점,서울특별시 성북구 고려대로 38(안암동2가) 1층
방이점,서울특별시 송파구 방이동 159-6
잠실1호점,서울특별시 송파구 잠실동 314-8
가락점,서울특별시 송파구 가락동 190-6
위례점,"서울특별시 송파구 위례광장로 230 (장지동, 위례2차아이파크) 상가2동 1층 비-0124호"
목동본점,서울특별시 양천구 은행정로4길 16 (신정동) .
신월직영점,"서울특별시 양천구 남부순환로 585 (신월동, 유림웰스빌) 상가 1층 102호 피자알볼로"
목동1호점,서울특별시 양천구 목동중앙서로 30 (목동) .
여의도직영점,"서울특별시 영등포구 여의대방로 394(여의도동) 114, 115호"
당산점,서울특별시 영등포구 당산동4가 32-70
문래직영점,서울특별시 영등포구 문래동5가 10 하우스디 비즈 101호
대림점,서울특별시 영등포구 대림동 988-44
신길점,서울특별시 영등포구 신길동 449-22
서울용산점,서울특별시 용산구 원효로 1가 39-10외 1필지
은평뉴타운점,서울특별시 은평구 진관동 은평뉴타운 701-110호
역촌점,서울특별시 은평구 역촌동 35-60
연신내점,서울특별시 은평구 대조동 180~205
신당점,서울특별시 중구 신당동 299-20
신내점,서울특별시 중랑구 신내동 613-10
면목점,서울특별시 중랑구 상봉2동 105-85번지
세종청사점,"세종특별자치시  보듬3로 73 (아름동, 범지기마을 11단지) 1층"
세종첫마을점,세종특별자치시  나성동 721 세종메디피아 1층
세종시청점,세종특별자치시  시청대로 209 (보람동) 1층 101호
조치원오송점,세종특별자치시  조치원읍 신흥리 49-24 1층
울산옥동점,울산광역시 남구 옥동 1405-25
울산삼산점,울산광역시 남구 번영로 113 1층
울산전하점,울산광역시 동구 전하동 618번지 104호
울산송정점,울산광역시 북구 송정16길 26 (송정동) 1층 102호
울산온양점,울산광역시 울주군 온양읍 온양로 179 1층
울산언양점,울산광역시 울주군 삼남읍 교동로 121 1층
울산반구점,울산광역시 중구 번영로 542 (반구동) .
우정혁신점,울산광역시 중구 종가1길 6(유곡동) 1층 105호
강화점,인천광역시 강화군 강화읍 갑룡길 83 1층
효성점,인천광역시 계양구 효성동 60-7 대정프라자 1층
계산점,인천광역시 계양구 계산동 917-15
구월점,인천광역시 남동구 구월동 1225-36 롯데프라자1차 105호
인천논현점,인천광역시 남동구 논현동 744-1
만수점,인천광역시 남동구 만수동 1115-2
서창점,인천광역시 남동구 서창동 722-4 104호
용현점,인천광역시 미추홀구 용현동 92-48 1층
주안점,인천광역시 미추홀구 주안로 182(주안동) 해마루더펠리체오피스텔 1층 101호
인천도화점,인천광역시 미추홀구 숙골로 96 (도화동) 106호
삼산점,인천광역시 부평구 삼산동 433-7
부평점,인천광역시 부평구 부평5동 531-1
산곡점,인천광역시 부평구 산곡동 185-11
청라점,인천광역시 서구 청라동 186-11 1층
검단점,인천광역시 서구 마전동 1016-6 중앙빌딩 1층
석남점,인천광역시 서구 석남동 539-9
인천검암점,인천광역시 서구 승학로 412(검암동) 1층
송도신도시점,인천광역시 연수구 송도동 21-65
연수점,인천광역시 연수구 연수동 597-3
인천옥련점,인천광역시 연수구 독배로 68(옥련동) 유진메디타워 103호
하늘도시점,인천광역시  중구 중산동 1886-1번지 동우빌딩
광양점,전라남도 광양시 중마중앙로 48 (중동) 1층
나주혁신도시점,전라남도 나주시 빛가람동 196-3 예가람타워 123호
목포하당점,전라남도 목포시 교육로 83(상동) 1층
남악오룡점,전라남도 무안군 삼향읍 남악3로 39 122호
연향점,전라남도 순천시 연향동 1481-3
순천신대점,전라남도 순천시 해룡면 매안3길 43 1층
여수여천점,전라남도 여수시 선원동 150-51
여수엑스포점,전라남도 여수시 이순신광장로 266 (수정동) 1층
군산점,전라북도 군산시 지곡동 487-7
완주첨단과학점,전라북도 완주군 봉동읍 둔산리 873-2 벽산e-솔렌스힐아파트 상가동 1층 102호
전주혁신도시점,전라북도 완주군 이서면 갈산리 662-6번지
익산점,전라북도 익산시 영등동 823-4
전북대점,전라북도 전주시 덕진구 금암동 1556-41
아중점,전라북도 전주시 덕진구 인후동1가 927-4 1층
전주1호점,전라북도 전주시 완산구 효자동2가 1313-4 1층 104호
삼천평화점,전라북도 전주시 완산구 삼천동1가 606-3
제주영어교육도시점,제주특별자치도 서귀포시 대정읍 구억리 1060
서귀포점,제주특별자치도 서귀포시 동홍동 116-12 1층
서귀포신시가지점,제주특별자치도 서귀포시 강정동 148-8 1층
중문점,제주특별자치도 서귀포시 천제연로 313 (회수동) 1층
제주점,제주특별자치도 제주시 승천로 53 (이도이동) 1층
노형점,제주특별자치도 제주시 노형동 노형6길 9
화북점,제주특별자치도 제주시 화북1동 2008
제주외도점,제주특별자치도 제주시 우정로 81 (외도일동) 104호
계룡점,충청남도 계룡시 엄사면 번영3길 73-9 1층
공주점,충청남도 공주시 번영1로 149
논산점,충청남도 논산시 취암동 1047-9
당진점,충청남도 당진시 읍내동 1220
보령점,충청남도 보령시 큰오랏1길 104 (동대동) 1층
서산점,충청남도 서산시 예천동 1298-3
아산점,충청남도 아산시 용화고길 87-1 (용화동) .
배방점,충청남도 아산시 배방읍 북수리 1500
천안구성점,충청남도 천안시 동남구 구성동 314-17
신부점,충청남도 천안시 동남구 중앙로 261-1 (신부동) .
쌍용점,충청남도 천안시 서북구 쌍용동 1951
천안백석점,충청남도 천안시 서북구 백석로 75-1 (백석동) 101호
홍성점,충청남도 홍성군 홍성읍 오관리 138-15 .
충북혁신도시점,충청북도 음성군 맹동면 대하로 255 지음프라자 1층 피자알볼로
제천점,충청북도 제천시 청전대로 223(장락동) 104호
용암점,충청북도 청주시 상당구 용암동 2534
율량점,충청북도 청주시 상당구 율량동 894
가경점,충청북도 청주시 서원구 성화동 711 .
오창점,충청북도 청주시 청원구 오창읍 양청리 821-2 1층
복대점,충청북도 청주시 흥덕구 복대동 3267
충주점,충청북도 충주시 연수동 1374 1층
